,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7400,33136887,"SoCal guest suite w/private  bath, 5 min to beach",38208066.0,1.4655717237454019e+18,Daniel & Ivy,Other Cities,Torrance,33.83534,-118.36853,Private room,96.0,1.0,939,2026-06-09,10.69,1.0,81,138,
7600,33453303,EXTENDED STAY - ONE Block to City Center. Parking!,56504568.0,1.465924633514324e+18,Samantha,Other Cities,Glendale,34.14774,-118.26279,Entire home/apt,120.0,25.0,49,2026-05-31,0.57,2.0,271,2,
7800,34212704,1 Bedroom Apartment close to beach & parks & cafes,20177365.0,1.4631009650523077e+18,Ashley,Other Cities,Long Beach,33.76745,-118.16774,Entire home/apt,103.0,31.0,3,2025-10-19,0.07,1.0,76,1,
8000,35543837,Close to the hottest Asian cuisine East of L.A.,25504232.0,1.4653441629366738e+18,Francisco,Other Cities,Rosemead,34.05805,-118.10431,Private room,,2.0,2,2020-01-02,0.02,1.0,0,0,
8200,35516220,"Cabin in the Sky: Epic Views, in Dwell, NY Times",14028184.0,1.4629287980756293e+18,Aradhna,Unincorporated Areas,Topanga,34.07619,-118.60034,Entire home/apt,227.0,30.0,32,2025-05-30,0.38,2.0,76,0,
8400,36805021,WOW!!! PRESTIGIOUS and PRIVATE!!!!!,276644913.0,1.46945852944069e+18,Cali West,Other Cities,Rancho Palos Verdes,33.73731,-118.35989,Entire home/apt,,30.0,0,,,3.0,0,0,
8600,39485953,Quiet Sherman Oaks Bungalow with Pool and Jacuzzi,530877.0,1.4625124522791974e+18,Gilli,City of Los Angeles,Van Nuys,34.17414,-118.45117,Entire home/apt,114.0,30.0,3,2026-05-22,0.15,1.0,358,2,HSR19-002325
8800,39246841,The Palmas House - 3/bed 2/ba + guesthouse + pool,170641.0,1.4625102065617928e+18,Mariel,City of Los Angeles,Hollywood,34.08566,-118.33578,Entire home/apt,,90.0,0,,,1.0,0,0,
9000,39835694,Private Guesthouse 2 miles to the Beach,5962546.0,1.46269401530932e+18,Nelley,Other Cities,Torrance,33.80114,-118.34513,Entire home/apt,89.0,31.0,15,2026-05-03,0.19,3.0,288,1,
9200,41109649,Historic Italian Vibes - Mountain View!,79577138.0,1.462824828944735e+18,Nancy,Other Cities,Glendale,34.17464,-118.27155,Private room,252.0,2.0,17,2026-01-02,0.22,2.0,89,1,
9400,41588008,Lovely Private Guest FamilyRoom close to Hollywood,160106273.0,1.4685576303603005e+18,Dario Filiberto,City of Los Angeles,Valley Glen,34.17498,-118.39786,Private room,71.0,30.0,25,2026-01-25,0.38,2.0,136,3,
9600,43079217,Glendale Studio,260753302.0,1.4693778872044204e+18,Edgar,Other Cities,Glendale,34.13828,-118.25455,Entire home/apt,,3.0,2,2020-04-20,0.03,1.0,0,0,
9800,43222348,Fresh 2BR Canal Home w/ Gym + Bikes | Walkable,237686624.0,1.4692647338576952e+18,Harry,Other Cities,Long Beach,33.75228,-118.12245,Entire home/apt,374.0,1.0,287,2026-06-10,4.97,1.0,170,60,NRP22-00665
10000,44368051,Relax space in Mt Washington,3380462.0,1.4625296155424755e+18,Raquel,City of Los Angeles,Mount Washington,34.1016,-118.22624,Entire home/apt,93.0,30.0,0,,,2.0,257,0,
10200,44139490,Beachwood Living in Hollywood Hills,273612630.0,1.4694438523021517e+18,Danny,City of Los Angeles,Hollywood Hills,34.11391,-118.32158,Private room,79.0,30.0,0,,,3.0,87,0,
10400,45127845,safe and calm area,364342095.0,1.46973259433923e+18,Arda,Other Cities,Santa Clarita,34.429,-118.4791,Entire home/apt,36.0,2.0,40,2024-06-30,0.57,1.0,20,0,
10600,45869602,1 bedroom condo in Tarzana,371872955.0,1.4697535571943066e+18,Jonathan,City of Los Angeles,Tarzana,34.17234,-118.53099,Entire home/apt,,30.0,0,,,1.0,270,0,
